ID,Titulo_Catalogo,Tipo,Categoria,Estado,TMDB_Espanol,TMDB_Original,Anio,Similitud,Alternativas,Popularidad
"1","Alice in Wonderland (2010)","movie","peliculas, comedia","SIN_RESULTADO","","","","","",""
"2","It (1990)","tv","series, terror","SIN_RESULTADO","","","","","",""
"3","Lilo & Stitch (2025)","movie","peliculas, comedia, cienciaficcion","SIN_RESULTADO","","","","","",""
"4","Pinocchio (2022)","movie","peliculas, drama","SIN_RESULTADO","","","","","",""
"5","The Fable (2019)","movie","peliculas, accion, comedia","SIN_RESULTADO","","","","","",""
"6","[REC] 2","movie","peliculas, terror","SOSPECHOSO","Cuarentena 2: Terminal","Quarantine 2: Terminal","2011","0.19","1","4"
"7","#Alive","movie","peliculas, terror","SOSPECHOSO","Sobreviviendo","Staying Alive","1983","0.50","1","5"
"8","10 Days of a Good Man","movie","peliculas, comedia, romance","SOSPECHOSO","10 días de un buen hombre","İyi Adamın 10 Günü","2023","0.25","0","3"
"9","365 Days: This Day","movie","peliculas, drama, romance","SOSPECHOSO","365 días: Aquel Día","365 dni: Ten dzień","2022","0.38","0","24"
"10","5 Centimeters per Second","movie","anime, drama, romance","SOSPECHOSO","秒速5センチメートル","秒速5センチメートル","2025","0.00","0","4"
"11","7 Women and a Murder","movie","peliculas, comedia","SOSPECHOSO","7 mujeres y un misterio","7 donne e un mistero","2021","0.29","0","3"
"12","A Business Proposal","tv","series, comedia, romance","SOSPECHOSO","Propuesta Laboral","사내맞선","2022","0.31","0","14"
"13","A Love So Beautiful","tv","series, romance, comedia, drama","SOSPECHOSO","Phro Thoe Khue Rak Raek - Un amor tan hermoso","เพราะเธอคือรักแรก","2024","0.12","0","3"
"14","A Poet","movie","peliculas, drama, comedia","SOSPECHOSO","A Poet in Exile","A Poet in Exile","2013","0.40","2","1"
"15","Agent from Above","tv","series, accion, drama","SOSPECHOSO","El agente divino","乩身","2026","0.30","0","7"
"16","All of Us Are Dead","tv","series, terror, drama","SOSPECHOSO","Estamos Muertos","지금 우리 학교는","2022","0.07","0","25"
"17","Anna","tv","series, drama","SOSPECHOSO","Anna Pigeon","Anna Pigeon","2026","0.46","2","25"
"18","As the Gods Will","movie","peliculas, accion","SOSPECHOSO","Como dios quiera","神さまの言うとおり","2014","0.08","0","6"
"19","Baki Dou","tv","anime, accion","SOSPECHOSO","Baki-Dou: El samurái invencible","刃牙道","2026","0.44","0","15"
"20","Berserk: The Golden Age Arc","tv","anime, accion","SOSPECHOSO","Berserk: La Edad de Oro – Memorial Edition","ベルセルク 黄金時代篇 MEMORIAL EDITION","2022","0.26","0","10"
"21","Blade","movie","peliculas, terror, accion","SOSPECHOSO","Blade Runner","Blade Runner","1982","0.53","1","22"
"22","Blade of the Immortal","tv","anime, accion, drama","SOSPECHOSO","無限の住人","無限の住人","2008","0.00","0","8"
"23","Bleach: Thousand-Year Blood War","tv","anime, accion","SOSPECHOSO","Bleach","BLEACH","2004","0.33","0","129"
"24","Chicago Typewriter","tv","series, drama, romance","SOSPECHOSO","La máquina de escribir","시카고 타자기","2017","0.06","0","4"
"25","Clean with Passion for Now","tv","series, comedia, romance","SOSPECHOSO","Limpia con pasión","일단 뜨겁게 청소하라","2018","0.36","0","9"
"26","Code Geass","tv","anime, accion, cienciaficcion","SOSPECHOSO","Code Geass: La Rebelión de Lelouch","コードギアス 反逆のルルーシュ","2006","0.53","0","33"
"27","Crash Landing on You","tv","series, romance, drama, comedia","SOSPECHOSO","Aterrizaje de emergencia en tu corazón","사랑의 불시착","2019","0.08","0","16"
"28","Dahmer","tv","series, drama, terror","SOSPECHOSO","Dahmer - Monstruo: La historia de Jeffrey Dahmer","DAHMER - Monster: The Jeffrey Dahmer Story","2022","0.33","0","32"
"29","Dandadan","tv","anime, accion, comedia","SOSPECHOSO","DAN DA DAN","ダンダダン","2024","0.44","0","35"
"30","Death's Roulette","movie","peliculas, drama","SOSPECHOSO","Uno Para Morir","Uno para morir","2023","0.00","0","3"
"31","Devil May Cry: The Animated Series","tv","anime, accion","SOSPECHOSO","デビル メイ クライ","デビル メイ クライ","2007","0.00","0","8"
"32","Digimon Adventure 01","tv","anime, accion, comedia","SOSPECHOSO","Digimon","デジモンアドベンチャー","1999","0.48","0","23"
"33","Digimon Adventure 02","tv","anime, accion","SOSPECHOSO","Digimon","デジモンアドベンチャー","1999","0.48","0","23"
"34","Disneynature: Bears","movie","peliculas, documental","SOSPECHOSO","Osos","Bears","2014","0.38","0","2"
"35","Dragon Ball Z: Bojack Unbound","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: La Galaxia Corre Peligro","ドラゴンボールZ 銀河ギリギリ!! ぶっちぎりの凄い奴","1993","0.46","0","5"
"36","Dragon Ball Z: Broly - Second Coming","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: El Regreso del Guerrero Legendario","ドラゴンボールＺ 危険なふたり！超戦士はねむれない","1994","0.47","0","5"
"37","Dragon Ball Z: Broly - The Legendary Super Saiyan","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: El Poder Invencible","ドラゴンボールＺ 燃え尽きろ!!熱戦・烈戦・超激戦","1993","0.51","0","7"
"38","Dragon Ball Z: Lord Slug","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: Goku es un Super Saiyajin","ドラゴンボールゼット 超スーパーサイヤ人じんだ孫そん悟ご空くう","1991","0.51","0","5"
"39","Dragon Ball Z: Resurrection 'F'","movie","anime, accion","SOSPECHOSO","ドラゴンボール超","ドラゴンボール超","2016","0.00","0","2"
"40","Dragon Ball Z: Super Android 13!","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: La Pelea de los Tres Saiyajin","ドラゴンボールＺ 極限バトル！三大超サイヤ人","1992","0.50","0","4"
"41","Dragon Ball Z: The Tree of Might","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: La Batalla más Grande de este Mundo está por Comenzar","ドラゴンボールZ 地球まるごと超決戦","1990","0.43","0","5"
"42","Dragon Ball Z: The World's Strongest","movie","anime, accion","SOSPECHOSO","Dragon Ball Z: El Hombre más Fuerte de este Mundo","ドラゴンボールZ この世で一番強いヤツ","1990","0.50","0","4"
