ID_VTX,Categoria_Excel,Titulo_Excel,Titulo_Catalogo,Tipo,Estado
VTX-0001,Series,The Walking Dead,The Walking Dead,tv,OK
VTX-0002,Series,The Big Bang Theory,The Big Bang Theory,tv,OK
VTX-0003,Series,El Elegido,The Chosen,tv,OK
VTX-0004,Series,I'm a Virgo,I'm a Virgo,tv,OK
VTX-0005,Series,New Bandits,New Bandits,tv,OK
VTX-0006,Series,Secret Invasion,Secret Invasion,tv,OK
VTX-0007,Series,The Warrior,Warrior,tv,OK
VTX-0008,Series,Eliminar - Delete,Delete,tv,OK
VTX-0009,Series,Ghoul,Ghoul,tv,OK
VTX-0010,Series,La Chica enmascarada,La chica enmascarada,tv,OK
VTX-0011,Series,MC Gregor Forever,McGregor Forever,tv,OK
VTX-0012,Series,One Piece Live Action,One Piece Live Action,tv,OK
VTX-0013,Series,Quien es Erin Carter,Who Is Erin Carter?,tv,OK
VTX-0014,Series,The Witcher,The Witcher,tv,OK
VTX-0015,Series,This World Cant Tear Me Down,This World Can't Tear Me Down,tv,OK
VTX-0016,Series,Zombiverso,,,OMITIDO (duplicado del Excel)
VTX-0017,Series,Black Knight,Black Knight,tv,OK
VTX-0018,Series,La casa de papel corea,Money Heist: Korea,tv,OK
VTX-0019,Series,breaking bad,Breaking Bad,tv,OK
VTX-0020,Series,The purge,The Purge,movie,OK
VTX-0021,Series,Criado porlobos,Raised by Wolves,tv,OK
VTX-0022,Series,Juego del calamar,Squid Game,tv,OK
VTX-0023,Series,Olive Kitteridge,Olive Kitteridge,tv,OK
VTX-0024,Series,American Horro Story,American Horror Story,tv,OK
VTX-0025,Series,Futurama,Futurama,tv,OK
VTX-0026,Series,The Last of US,The Last of Us,tv,OK
VTX-0027,Series,The Peripheral,The Peripheral,tv,OK
VTX-0028,Series,Asesino Mediatico,Copycat Killer,tv,OK
VTX-0029,Series,Dark,Dark,tv,OK
VTX-0030,Series,Twisted Metal,Twisted Metal,tv,OK
VTX-0031,Series,Insania,Insânia,tv,OK
VTX-0032,Series,La casa de papel,Money Heist,tv,OK
VTX-0033,Series,El principe del rap,The Fresh Prince of Bel-Air,tv,OK
VTX-0034,Series,Seal Team,SEAL Team,tv,OK
VTX-0035,Series,New Amsterdam,New Amsterdam,tv,OK
VTX-0036,Series,Mother land fort salem,Motherland: Fort Salem,tv,OK
VTX-0037,Series,Lost,Lost,tv,OK
VTX-0038,Series,Genius,Genius,tv,OK
VTX-0039,Series,Dave,Dave,tv,OK
VTX-0040,Series,Rick and morty,Rick and Morty,tv,OK
VTX-0041,Series,The Sopranos,The Sopranos,tv,OK
VTX-0042,Series,Amor y muerte,Love & Death,tv,OK
VTX-0043,Series,La casa del dragon,House of the Dragon,tv,OK
VTX-0044,Series,Chernobyl,Chernobyl,tv,OK
VTX-0045,Series,Euphoria,Euphoria,tv,OK
VTX-0046,Series,Tokyo Vice,Tokyo Vice,tv,OK
VTX-0047,Series,The Young Sheldon,Young Sheldon,tv,OK
VTX-0048,Series,La materia oscura,His Dark Materials,tv,OK
VTX-0049,Series,Todos Odian a Chris,Everybody Hates Chris,tv,OK
VTX-0050,Series,Fear the walking Dead,Fear the Walking Dead,tv,OK
VTX-0051,Series,The Walking Dead World Beyond,The Walking Dead: World Beyond,tv,OK
